+---------+--------------+-------------+
| Decimal |   Binario    | Hexadecimal |
|   114   |   1110010    |      72     |
|   115   |   1110011    |      73     |
|   116   |   1110100    |      74     |
|   117   |   1110101    |      75     |
|   118   |   1110110    |      76     |
|   119   |   1110111    |      77     |
|   120   |   1111000    |      78     |
|   121   |   1111001    |      79     |
|   122   |   1111010    |      7A     |
|   123   |   1111011    |      7B     |
|   124   |   1111100    |      7C     |
|   125   |   1111101    |      7D     |
|   126   |   1111110    |      7E     |
|   127   |   1111111    |      7F     |
|   128   |   10000000   |      80     |
|   129   |   10000001   |      81     |
|   130   |   10000010   |      82     |
|   131   |   10000011   |      83     |
|   132   |   10000100   |      84     |
|   133   |   10000101   |      85     |
|   134   |   10000110   |      86     |
|   135   |   10000111   |      87     |
|   136   |   10001000   |      88     |
|   137   |   10001001   |      89     |
|   138   |   10001010   |      8A     |
|   139   |   10001011   |      8B     |
|   140   |   10001100   |      8C     |
|   141   |   10001101   |      8D     |
|   142   |   10001110   |      8E     |
|   143   |   10001111   |      8F     |
|   144   |   10010000   |      90     |
|   145   |   10010001   |      91     |
|   146   |   10010010   |      92     |
|   147   |   10010011   |      93     |
|   148   |   10010100   |      94     |
|   149   |   10010101   |      95     |
|   150   |   10010110   |      96     |
|   151   |   10010111   |      97     |
|   152   |   10011000   |      98     |
|   153   |   10011001   |      99     |
|   154   |   10011010   |      9A     |
|   155   |   10011011   |      9B     |
|   156   |   10011100   |      9C     |
|   157   |   10011101   |      9D     |
|   158   |   10011110   |      9E     |
|   159   |   10011111   |      9F     |
|   160   |   10100000   |      A0     |
|   161   |   10100001   |      A1     |
|   162   |   10100010   |      A2     |
|   163   |   10100011   |      A3     |
|   164   |   10100100   |      A4     |
|   165   |   10100101   |      A5     |
|   166   |   10100110   |      A6     |
|   167   |   10100111   |      A7     |
|   168   |   10101000   |      A8     |
|   169   |   10101001   |      A9     |
|   170   |   10101010   |      AA     |
|   171   |   10101011   |      AB     |
|   172   |   10101100   |      AC     |
|   173   |   10101101   |      AD     |
|   174   |   10101110   |      AE     |
|   175   |   10101111   |      AF     |
|   176   |   10110000   |      B0     |
|   177   |   10110001   |      B1     |
|   178   |   10110010   |      B2     |
|   179   |   10110011   |      B3     |
|   180   |   10110100   |      B4     |
|   181   |   10110101   |      B5     |
|   182   |   10110110   |      B6     |
|   183   |   10110111   |      B7     |
|   184   |   10111000   |      B8     |
|   185   |   10111001   |      B9     |
|   186   |   10111010   |      BA     |
|   187   |   10111011   |      BB     |
|   188   |   10111100   |      BC     |
|   189   |   10111101   |      BD     |
|   190   |   10111110   |      BE     |
|   191   |   10111111   |      BF     |
|   192   |   11000000   |      C0     |
|   193   |   11000001   |      C1     |
|   194   |   11000010   |      C2     |
|   195   |   11000011   |      C3     |
|   196   |   11000100   |      C4     |
|   197   |   11000101   |      C5     |
|   198   |   11000110   |      C6     |
|   199   |   11000111   |      C7     |
|   200   |   11001000   |      C8     |
|   201   |   11001001   |      C9     |
|   202   |   11001010   |      CA     |
|   203   |   11001011   |      CB     |
|   204   |   11001100   |      CC     |
|   205   |   11001101   |      CD     |
|   206   |   11001110   |      CE     |
|   207   |   11001111   |      CF     |
|   208   |   11010000   |      D0     |
|   209   |   11010001   |      D1     |
|   210   |   11010010   |      D2     |
|   211   |   11010011   |      D3     |
|   212   |   11010100   |      D4     |
|   213   |   11010101   |      D5     |
|   214   |   11010110   |      D6     |
|   215   |   11010111   |      D7     |
|   216   |   11011000   |      D8     |
|   217   |   11011001   |      D9     |
|   218   |   11011010   |      DA     |
|   219   |   11011011   |      DB     |
|   220   |   11011100   |      DC     |
|   221   |   11011101   |      DD     |
|   222   |   11011110   |      DE     |
|   223   |   11011111   |      DF     |
|   224   |   11100000   |      E0     |
|   225   |   11100001   |      E1     |
|   226   |   11100010   |      E2     |
|   227   |   11100011   |      E3     |
|   228   |   11100100   |      E4     |
|   229   |   11100101   |      E5     |
|   230   |   11100110   |      E6     |
|   231   |   11100111   |      E7     |
|   232   |   11101000   |      E8     |
|   233   |   11101001   |      E9     |
|   234   |   11101010   |      EA     |
|   235   |   11101011   |      EB     |
|   236   |   11101100   |      EC     |
|   237   |   11101101   |      ED     |
|   238   |   11101110   |      EE     |
|   239   |   11101111   |      EF     |
|   240   |   11110000   |      F0     |
|   241   |   11110001   |      F1     |
|   242   |   11110010   |      F2     |
|   243   |   11110011   |      F3     |
|   244   |   11110100   |      F4     |
|   245   |   11110101   |      F5     |
|   246   |   11110110   |      F6     |
|   247   |   11110111   |      F7     |
|   248   |   11111000   |      F8     |
|   249   |   11111001   |      F9     |
|   250   |   11111010   |      FA     |
|   251   |   11111011   |      FB     |
|   252   |   11111100   |      FC     |
|   253   |   11111101   |      FD     |
|   254   |   11111110   |      FE     |
|   255   |   11111111   |      FF     |
|   256   |  100000000   |     100     |
|   257   |  100000001   |     101     |
|   258   |  100000010   |     102     |
|   259   |  100000011   |     103     |
|   260   |  100000100   |     104     |
|   261   |  100000101   |     105     |
|   262   |  100000110   |     106     |
|   263   |  100000111   |     107     |
|   264   |  100001000   |     108     |
|   265   |  100001001   |     109     |
|   266   |  100001010   |     10A     |
|   267   |  100001011   |     10B     |
|   268   |  100001100   |     10C     |
|   269   |  100001101   |     10D     |
|   270   |  100001110   |     10E     |
|   271   |  100001111   |     10F     |
|   272   |  100010000   |     110     |
|   273   |  100010001   |     111     |
|   274   |  100010010   |     112     |
|   275   |  100010011   |     113     |
|   276   |  100010100   |     114     |
|   277   |  100010101   |     115     |
|   278   |  100010110   |     116     |
|   279   |  100010111   |     117     |
|   280   |  100011000   |     118     |
|   281   |  100011001   |     119     |
|   282   |  100011010   |     11A     |
|   283   |  100011011   |     11B     |
|   284   |  100011100   |     11C     |
|   285   |  100011101   |     11D     |
|   286   |  100011110   |     11E     |
|   287   |  100011111   |     11F     |
|   288   |  100100000   |     120     |
|   289   |  100100001   |     121     |
|   290   |  100100010   |     122     |
|   291   |  100100011   |     123     |
|   292   |  100100100   |     124     |
|   293   |  100100101   |     125     |
|   294   |  100100110   |     126     |
|   295   |  100100111   |     127     |
|   296   |  100101000   |     128     |
|   297   |  100101001   |     129     |
|   298   |  100101010   |     12A     |
|   299   |  100101011   |     12B     |
|   300   |  100101100   |     12C     |
|   301   |  100101101   |     12D     |
|   302   |  100101110   |     12E     |
|   303   |  100101111   |     12F     |
|   304   |  100110000   |     130     |
|   305   |  100110001   |     131     |
|   306   |  100110010   |     132     |
|   307   |  100110011   |     133     |
|   308   |  100110100   |     134     |
|   309   |  100110101   |     135     |
|   310   |  100110110   |     136     |
|   311   |  100110111   |     137     |
|   312   |  100111000   |     138     |
|   313   |  100111001   |     139     |
|   314   |  100111010   |     13A     |
|   315   |  100111011   |     13B     |
|   316   |  100111100   |     13C     |
|   317   |  100111101   |     13D     |
|   318   |  100111110   |     13E     |
|   319   |  100111111   |     13F     |
|   320   |  101000000   |     140     |
|   321   |  101000001   |     141     |
|   322   |  101000010   |     142     |
|   323   |  101000011   |     143     |
|   324   |  101000100   |     144     |
|   325   |  101000101   |     145     |
|   326   |  101000110   |     146     |
|   327   |  101000111   |     147     |
|   328   |  101001000   |     148     |
|   329   |  101001001   |     149     |
|   330   |  101001010   |     14A     |
|   331   |  101001011   |     14B     |
|   332   |  101001100   |     14C     |
|   333   |  101001101   |     14D     |
|   334   |  101001110   |     14E     |
|   335   |  101001111   |     14F     |
|   336   |  101010000   |     150     |
|   337   |  101010001   |     151     |
|   338   |  101010010   |     152     |
|   339   |  101010011   |     153     |
|   340   |  101010100   |     154     |
|   341   |  101010101   |     155     |
|   342   |  101010110   |     156     |
|   343   |  101010111   |     157     |
|   344   |  101011000   |     158     |
|   345   |  101011001   |     159     |
|   346   |  101011010   |     15A     |
|   347   |  101011011   |     15B     |
|   348   |  101011100   |     15C     |
|   349   |  101011101   |     15D     |
|   350   |  101011110   |     15E     |
|   351   |  101011111   |     15F     |
|   352   |  101100000   |     160     |
|   353   |  101100001   |     161     |
|   354   |  101100010   |     162     |
|   355   |  101100011   |     163     |
|   356   |  101100100   |     164     |
|   357   |  101100101   |     165     |
|   358   |  101100110   |     166     |
|   359   |  101100111   |     167     |
|   360   |  101101000   |     168     |
|   361   |  101101001   |     169     |
|   362   |  101101010   |     16A     |
|   363   |  101101011   |     16B     |
|   364   |  101101100   |     16C     |
|   365   |  101101101   |     16D     |
|   366   |  101101110   |     16E     |
|   367   |  101101111   |     16F     |
|   368   |  101110000   |     170     |
|   369   |  101110001   |     171     |
|   370   |  101110010   |     172     |
|   371   |  101110011   |     173     |
|   372   |  101110100   |     174     |
|   373   |  101110101   |     175     |
|   374   |  101110110   |     176     |
|   375   |  101110111   |     177     |
|   376   |  101111000   |     178     |
|   377   |  101111001   |     179     |
|   378   |  101111010   |     17A     |
|   379   |  101111011   |     17B     |
|   380   |  101111100   |     17C     |
|   381   |  101111101   |     17D     |
|   382   |  101111110   |     17E     |
|   383   |  101111111   |     17F     |
|   384   |  110000000   |     180     |
|   385   |  110000001   |     181     |
|   386   |  110000010   |     182     |
|   387   |  110000011   |     183     |
|   388   |  110000100   |     184     |
|   389   |  110000101   |     185     |
|   390   |  110000110   |     186     |
|   391   |  110000111   |     187     |
|   392   |  110001000   |     188     |
|   393   |  110001001   |     189     |
|   394   |  110001010   |     18A     |
|   395   |  110001011   |     18B     |
|   396   |  110001100   |     18C     |
|   397   |  110001101   |     18D     |
|   398   |  110001110   |     18E     |
|   399   |  110001111   |     18F     |
|   400   |  110010000   |     190     |
|   401   |  110010001   |     191     |
|   402   |  110010010   |     192     |
|   403   |  110010011   |     193     |
|   404   |  110010100   |     194     |
|   405   |  110010101   |     195     |
|   406   |  110010110   |     196     |
|   407   |  110010111   |     197     |
|   408   |  110011000   |     198     |
|   409   |  110011001   |     199     |
|   410   |  110011010   |     19A     |
|   411   |  110011011   |     19B     |
|   412   |  110011100   |     19C     |
|   413   |  110011101   |     19D     |
|   414   |  110011110   |     19E     |
|   415   |  110011111   |     19F     |
|   416   |  110100000   |     1A0     |
|   417   |  110100001   |     1A1     |
|   418   |  110100010   |     1A2     |
|   419   |  110100011   |     1A3     |
|   420   |  110100100   |     1A4     |
|   421   |  110100101   |     1A5     |
|   422   |  110100110   |     1A6     |
|   423   |  110100111   |     1A7     |
|   424   |  110101000   |     1A8     |
|   425   |  110101001   |     1A9     |
|   426   |  110101010   |     1AA     |
|   427   |  110101011   |     1AB     |
|   428   |  110101100   |     1AC     |
|   429   |  110101101   |     1AD     |
|   430   |  110101110   |     1AE     |
|   431   |  110101111   |     1AF     |
|   432   |  110110000   |     1B0     |
|   433   |  110110001   |     1B1     |
|   434   |  110110010   |     1B2     |
|   435   |  110110011   |     1B3     |
|   436   |  110110100   |     1B4     |
|   437   |  110110101   |     1B5     |
|   438   |  110110110   |     1B6     |
|   439   |  110110111   |     1B7     |
|   440   |  110111000   |     1B8     |
|   441   |  110111001   |     1B9     |
|   442   |  110111010   |     1BA     |
|   443   |  110111011   |     1BB     |
|   444   |  110111100   |     1BC     |
|   445   |  110111101   |     1BD     |
|   446   |  110111110   |     1BE     |
|   447   |  110111111   |     1BF     |
|   448   |  111000000   |     1C0     |
|   449   |  111000001   |     1C1     |
|   450   |  111000010   |     1C2     |
|   451   |  111000011   |     1C3     |
|   452   |  111000100   |     1C4     |
|   453   |  111000101   |     1C5     |
|   454   |  111000110   |     1C6     |
|   455   |  111000111   |     1C7     |
|   456   |  111001000   |     1C8     |
|   457   |  111001001   |     1C9     |
|   458   |  111001010   |     1CA     |
|   459   |  111001011   |     1CB     |
|   460   |  111001100   |     1CC     |
|   461   |  111001101   |     1CD     |
|   462   |  111001110   |     1CE     |
|   463   |  111001111   |     1CF     |
|   464   |  111010000   |     1D0     |
|   465   |  111010001   |     1D1     |
|   466   |  111010010   |     1D2     |
|   467   |  111010011   |     1D3     |
|   468   |  111010100   |     1D4     |
|   469   |  111010101   |     1D5     |
|   470   |  111010110   |     1D6     |
|   471   |  111010111   |     1D7     |
|   472   |  111011000   |     1D8     |
|   473   |  111011001   |     1D9     |
|   474   |  111011010   |     1DA     |
|   475   |  111011011   |     1DB     |
|   476   |  111011100   |     1DC     |
|   477   |  111011101   |     1DD     |
|   478   |  111011110   |     1DE     |
|   479   |  111011111   |     1DF     |
|   480   |  111100000   |     1E0     |
|   481   |  111100001   |     1E1     |
|   482   |  111100010   |     1E2     |
|   483   |  111100011   |     1E3     |
|   484   |  111100100   |     1E4     |
|   485   |  111100101   |     1E5     |
|   486   |  111100110   |     1E6     |
|   487   |  111100111   |     1E7     |
|   488   |  111101000   |     1E8     |
|   489   |  111101001   |     1E9     |
|   490   |  111101010   |     1EA     |
|   491   |  111101011   |     1EB     |
|   492   |  111101100   |     1EC     |
|   493   |  111101101   |     1ED     |
|   494   |  111101110   |     1EE     |
|   495   |  111101111   |     1EF     |
|   496   |  111110000   |     1F0     |
|   497   |  111110001   |     1F1     |
|   498   |  111110010   |     1F2     |
|   499   |  111110011   |     1F3     |
|   500   |  111110100   |     1F4     |
|   501   |  111110101   |     1F5     |
|   502   |  111110110   |     1F6     |
|   503   |  111110111   |     1F7     |
|   504   |  111111000   |     1F8     |
|   505   |  111111001   |     1F9     |
|   506   |  111111010   |     1FA     |
|   507   |  111111011   |     1FB     |
|   508   |  111111100   |     1FC     |
|   509   |  111111101   |     1FD     |
|   510   |  111111110   |     1FE     |
|   511   |  111111111   |     1FF     |
|   512   |  1000000000  |     200     |
|   513   |  1000000001  |     201     |
|   514   |  1000000010  |     202     |
|   515   |  1000000011  |     203     |
|   516   |  1000000100  |     204     |
|   517   |  1000000101  |     205     |
|   518   |  1000000110  |     206     |
|   519   |  1000000111  |     207     |
|   520   |  1000001000  |     208     |
|   521   |  1000001001  |     209     |
|   522   |  1000001010  |     20A     |
|   523   |  1000001011  |     20B     |
|   524   |  1000001100  |     20C     |
|   525   |  1000001101  |     20D     |
|   526   |  1000001110  |     20E     |
|   527   |  1000001111  |     20F     |
|   528   |  1000010000  |     210     |
|   529   |  1000010001  |     211     |
|   530   |  1000010010  |     212     |
|   531   |  1000010011  |     213     |
|   532   |  1000010100  |     214     |
|   533   |  1000010101  |     215     |
|   534   |  1000010110  |     216     |
|   535   |  1000010111  |     217     |
|   536   |  1000011000  |     218     |
|   537   |  1000011001  |     219     |
|   538   |  1000011010  |     21A     |
|   539   |  1000011011  |     21B     |
|   540   |  1000011100  |     21C     |
|   541   |  1000011101  |     21D     |
|   542   |  1000011110  |     21E     |
|   543   |  1000011111  |     21F     |
|   544   |  1000100000  |     220     |
|   545   |  1000100001  |     221     |
|   546   |  1000100010  |     222     |
|   547   |  1000100011  |     223     |
|   548   |  1000100100  |     224     |
|   549   |  1000100101  |     225     |
|   550   |  1000100110  |     226     |
|   551   |  1000100111  |     227     |
|   552   |  1000101000  |     228     |
|   553   |  1000101001  |     229     |
|   554   |  1000101010  |     22A     |
|   555   |  1000101011  |     22B     |
|   556   |  1000101100  |     22C     |
|   557   |  1000101101  |     22D     |
|   558   |  1000101110  |     22E     |
|   559   |  1000101111  |     22F     |
|   560   |  1000110000  |     230     |
|   561   |  1000110001  |     231     |
|   562   |  1000110010  |     232     |
|   563   |  1000110011  |     233     |
|   564   |  1000110100  |     234     |
|   565   |  1000110101  |     235     |
|   566   |  1000110110  |     236     |
|   567   |  1000110111  |     237     |
|   568   |  1000111000  |     238     |
|   569   |  1000111001  |     239     |
|   570   |  1000111010  |     23A     |
|   571   |  1000111011  |     23B     |
|   572   |  1000111100  |     23C     |
|   573   |  1000111101  |     23D     |
|   574   |  1000111110  |     23E     |
|   575   |  1000111111  |     23F     |
|   576   |  1001000000  |     240     |
|   577   |  1001000001  |     241     |
|   578   |  1001000010  |     242     |
|   579   |  1001000011  |     243     |
|   580   |  1001000100  |     244     |
|   581   |  1001000101  |     245     |
|   582   |  1001000110  |     246     |
|   583   |  1001000111  |     247     |
|   584   |  1001001000  |     248     |
|   585   |  1001001001  |     249     |
|   586   |  1001001010  |     24A     |
|   587   |  1001001011  |     24B     |
|   588   |  1001001100  |     24C     |
|   589   |  1001001101  |     24D     |
|   590   |  1001001110  |     24E     |
|   591   |  1001001111  |     24F     |
|   592   |  1001010000  |     250     |
|   593   |  1001010001  |     251     |
|   594   |  1001010010  |     252     |
|   595   |  1001010011  |     253     |
|   596   |  1001010100  |     254     |
|   597   |  1001010101  |     255     |
|   598   |  1001010110  |     256     |
|   599   |  1001010111  |     257     |
|   600   |  1001011000  |     258     |
|   601   |  1001011001  |     259     |
|   602   |  1001011010  |     25A     |
|   603   |  1001011011  |     25B     |
|   604   |  1001011100  |     25C     |
|   605   |  1001011101  |     25D     |
|   606   |  1001011110  |     25E     |
|   607   |  1001011111  |     25F     |
|   608   |  1001100000  |     260     |
|   609   |  1001100001  |     261     |
|   610   |  1001100010  |     262     |
|   611   |  1001100011  |     263     |
|   612   |  1001100100  |     264     |
|   613   |  1001100101  |     265     |
|   614   |  1001100110  |     266     |
|   615   |  1001100111  |     267     |
|   616   |  1001101000  |     268     |
|   617   |  1001101001  |     269     |
|   618   |  1001101010  |     26A     |
|   619   |  1001101011  |     26B     |
|   620   |  1001101100  |     26C     |
|   621   |  1001101101  |     26D     |
|   622   |  1001101110  |     26E     |
|   623   |  1001101111  |     26F     |
|   624   |  1001110000  |     270     |
|   625   |  1001110001  |     271     |
|   626   |  1001110010  |     272     |
|   627   |  1001110011  |     273     |
|   628   |  1001110100  |     274     |
|   629   |  1001110101  |     275     |
|   630   |  1001110110  |     276     |
|   631   |  1001110111  |     277     |
|   632   |  1001111000  |     278     |
|   633   |  1001111001  |     279     |
|   634   |  1001111010  |     27A     |
|   635   |  1001111011  |     27B     |
|   636   |  1001111100  |     27C     |
|   637   |  1001111101  |     27D     |
|   638   |  1001111110  |     27E     |
|   639   |  1001111111  |     27F     |
|   640   |  1010000000  |     280     |
|   641   |  1010000001  |     281     |
|   642   |  1010000010  |     282     |
|   643   |  1010000011  |     283     |
|   644   |  1010000100  |     284     |
|   645   |  1010000101  |     285     |
|   646   |  1010000110  |     286     |
|   647   |  1010000111  |     287     |
|   648   |  1010001000  |     288     |
|   649   |  1010001001  |     289     |
|   650   |  1010001010  |     28A     |
|   651   |  1010001011  |     28B     |
|   652   |  1010001100  |     28C     |
|   653   |  1010001101  |     28D     |
|   654   |  1010001110  |     28E     |
|   655   |  1010001111  |     28F     |
|   656   |  1010010000  |     290     |
|   657   |  1010010001  |     291     |
|   658   |  1010010010  |     292     |
|   659   |  1010010011  |     293     |
|   660   |  1010010100  |     294     |
|   661   |  1010010101  |     295     |
|   662   |  1010010110  |     296     |
|   663   |  1010010111  |     297     |
|   664   |  1010011000  |     298     |
|   665   |  1010011001  |     299     |
|   666   |  1010011010  |     29A     |
|   667   |  1010011011  |     29B     |
|   668   |  1010011100  |     29C     |
|   669   |  1010011101  |     29D     |
|   670   |  1010011110  |     29E     |
|   671   |  1010011111  |     29F     |
|   672   |  1010100000  |     2A0     |
|   673   |  1010100001  |     2A1     |
|   674   |  1010100010  |     2A2     |
|   675   |  1010100011  |     2A3     |
|   676   |  1010100100  |     2A4     |
|   677   |  1010100101  |     2A5     |
|   678   |  1010100110  |     2A6     |
|   679   |  1010100111  |     2A7     |
|   680   |  1010101000  |     2A8     |
|   681   |  1010101001  |     2A9     |
|   682   |  1010101010  |     2AA     |
|   683   |  1010101011  |     2AB     |
|   684   |  1010101100  |     2AC     |
|   685   |  1010101101  |     2AD     |
|   686   |  1010101110  |     2AE     |
|   687   |  1010101111  |     2AF     |
|   688   |  1010110000  |     2B0     |
|   689   |  1010110001  |     2B1     |
|   690   |  1010110010  |     2B2     |
|   691   |  1010110011  |     2B3     |
|   692   |  1010110100  |     2B4     |
|   693   |  1010110101  |     2B5     |
|   694   |  1010110110  |     2B6     |
|   695   |  1010110111  |     2B7     |
|   696   |  1010111000  |     2B8     |
|   697   |  1010111001  |     2B9     |
|   698   |  1010111010  |     2BA     |
|   699   |  1010111011  |     2BB     |
|   700   |  1010111100  |     2BC     |
|   701   |  1010111101  |     2BD     |
|   702   |  1010111110  |     2BE     |
|   703   |  1010111111  |     2BF     |
|   704   |  1011000000  |     2C0     |
|   705   |  1011000001  |     2C1     |
|   706   |  1011000010  |     2C2     |
|   707   |  1011000011  |     2C3     |
|   708   |  1011000100  |     2C4     |
|   709   |  1011000101  |     2C5     |
|   710   |  1011000110  |     2C6     |
|   711   |  1011000111  |     2C7     |
|   712   |  1011001000  |     2C8     |
|   713   |  1011001001  |     2C9     |
|   714   |  1011001010  |     2CA     |
|   715   |  1011001011  |     2CB     |
|   716   |  1011001100  |     2CC     |
|   717   |  1011001101  |     2CD     |
|   718   |  1011001110  |     2CE     |
|   719   |  1011001111  |     2CF     |
|   720   |  1011010000  |     2D0     |
|   721   |  1011010001  |     2D1     |
|   722   |  1011010010  |     2D2     |
|   723   |  1011010011  |     2D3     |
|   724   |  1011010100  |     2D4     |
|   725   |  1011010101  |     2D5     |
|   726   |  1011010110  |     2D6     |
|   727   |  1011010111  |     2D7     |
|   728   |  1011011000  |     2D8     |
|   729   |  1011011001  |     2D9     |
|   730   |  1011011010  |     2DA     |
|   731   |  1011011011  |     2DB     |
|   732   |  1011011100  |     2DC     |
|   733   |  1011011101  |     2DD     |
|   734   |  1011011110  |     2DE     |
|   735   |  1011011111  |     2DF     |
|   736   |  1011100000  |     2E0     |
|   737   |  1011100001  |     2E1     |
|   738   |  1011100010  |     2E2     |
|   739   |  1011100011  |     2E3     |
|   740   |  1011100100  |     2E4     |
|   741   |  1011100101  |     2E5     |
|   742   |  1011100110  |     2E6     |
|   743   |  1011100111  |     2E7     |
|   744   |  1011101000  |     2E8     |
|   745   |  1011101001  |     2E9     |
|   746   |  1011101010  |     2EA     |
|   747   |  1011101011  |     2EB     |
|   748   |  1011101100  |     2EC     |
|   749   |  1011101101  |     2ED     |
|   750   |  1011101110  |     2EE     |
|   751   |  1011101111  |     2EF     |
|   752   |  1011110000  |     2F0     |
|   753   |  1011110001  |     2F1     |
|   754   |  1011110010  |     2F2     |
|   755   |  1011110011  |     2F3     |
|   756   |  1011110100  |     2F4     |
|   757   |  1011110101  |     2F5     |
|   758   |  1011110110  |     2F6     |
|   759   |  1011110111  |     2F7     |
|   760   |  1011111000  |     2F8     |
|   761   |  1011111001  |     2F9     |
|   762   |  1011111010  |     2FA     |
|   763   |  1011111011  |     2FB     |
|   764   |  1011111100  |     2FC     |
|   765   |  1011111101  |     2FD     |
|   766   |  1011111110  |     2FE     |
|   767   |  1011111111  |     2FF     |
|   768   |  1100000000  |     300     |
|   769   |  1100000001  |     301     |
|   770   |  1100000010  |     302     |
|   771   |  1100000011  |     303     |
|   772   |  1100000100  |     304     |
|   773   |  1100000101  |     305     |
|   774   |  1100000110  |     306     |
|   775   |  1100000111  |     307     |
|   776   |  1100001000  |     308     |
|   777   |  1100001001  |     309     |
|   778   |  1100001010  |     30A     |
|   779   |  1100001011  |     30B     |
|   780   |  1100001100  |     30C     |
|   781   |  1100001101  |     30D     |
|   782   |  1100001110  |     30E     |
|   783   |  1100001111  |     30F     |
|   784   |  1100010000  |     310     |
|   785   |  1100010001  |     311     |
|   786   |  1100010010  |     312     |
|   787   |  1100010011  |     313     |
|   788   |  1100010100  |     314     |
|   789   |  1100010101  |     315     |
|   790   |  1100010110  |     316     |
|   791   |  1100010111  |     317     |
|   792   |  1100011000  |     318     |
|   793   |  1100011001  |     319     |
|   794   |  1100011010  |     31A     |
|   795   |  1100011011  |     31B     |
|   796   |  1100011100  |     31C     |
|   797   |  1100011101  |     31D     |
|   798   |  1100011110  |     31E     |
|   799   |  1100011111  |     31F     |
|   800   |  1100100000  |     320     |
|   801   |  1100100001  |     321     |
|   802   |  1100100010  |     322     |
|   803   |  1100100011  |     323     |
|   804   |  1100100100  |     324     |
|   805   |  1100100101  |     325     |
|   806   |  1100100110  |     326     |
